time,x,y,yaw,vel_x,yaw_vel
3.2901763916015625e-05,,,,,
0.029200315475463867,-3.5984789098615906,0.724206525329441,-1.1479889403838848,,
0.06285572052001953,-3.584278738687272,0.6933479751291961,-1.1309952709442932,,
0.09740543365478516,-3.569556354498071,0.6627351146103065,-1.1139897106020353,,
0.1325223445892334,-3.554315639418549,0.6323763798967166,-1.0969813888760351,,
0.16554808616638184,-3.5385613301267003,0.6022805661529551,-1.0799734674743293,,
0.19956374168395996,-3.522296951259429,0.5724568493725171,-1.0629678882575277,,
0.23413634300231934,-3.505528084083728,0.5429136055191277,-1.045962786296719,,
0.2680478096008301,-3.488258853285314,0.5136595970290878,-1.028958842831775,,
0.30223512649536133,-3.4704946676854695,0.4847032294600749,-1.0119511059017494,,
0.3364298343658447,-3.4522411107463373,0.45605229063027514,-0.9949418544620148,,
0.37085795402526855,-3.433502523732914,0.4277156744088384,-0.9779338069226204,,
0.4051508903503418,-3.414284694857102,0.3997013521821266,-0.96092853304701,,
0.43906641006469727,-3.3945937424883255,0.3720172577431895,-0.9439264517851671,,
0.472761869430542,-3.3744340763169327,0.3446720137609475,-0.9269273096857074,,
0.5072588920593262,-3.3538152310966836,0.31767376415124865,-0.9099369091524242,,
0.5411286354064941,-3.33277779813771,0.29103686403873913,-0.8931070751208412,,
0.5755500793457031,-3.311275109376096,0.2647626872006301,-0.8763492427835832,,
0.6093480587005615,-3.289335362040772,0.2388527020347321,-0.8595923221357107,,
0.6446306705474854,-3.266964236226014,0.21331477750128186,-0.8428191556721266,,
0.6784963607788086,-3.2441676562955406,0.18815646971011335,-0.826027475130443,,
0.712712287902832,-3.220951378677792,0.16338548325856553,-0.8092192400062773,,
0.7475855350494385,-3.1973219464656193,0.13900855012970145,-0.7923857661206568,,
0.7817928791046143,-3.1732857492471336,0.11503299686627837,-0.7755408780600753,,
0.8168914318084717,-3.148849199653267,0.09146591561616864,-0.7586874817932022,,
0.8506112098693848,-3.1240187168033158,0.06831458999983676,-0.7418287482681726,,
0.8851842880249023,-3.098801075844477,0.04558587483739723,-0.7249665775670067,,
0.9192032814025879,-3.073203583742054,0.02328601882095595,-0.7080946517112787,,
0.9525721073150635,-3.047233415740238,0.0014214127537263486,-0.6912161386680638,,
0.9879069328308105,-3.020897922109115,-0.02000172983325532,-0.6743350951694582,,
1.0207593441009521,-2.9942055126153777,-0.04097918998114881,-0.6574522690926302,,
1.0558323860168457,-2.967169703220395,-0.061539729034739574,-0.6405784551565294,,
1.0891921520233154,-2.939764169277516,-0.08162349856803781,-0.6236858202247254,,
1.1237733364105225,-2.912023445792418,-0.10124160404129476,-0.6067754697542009,,
1.1576805114746094,-2.883954879571953,-0.1203878848497489,-0.5898575068081652,,
1.1914961338043213,-2.8555666579522008,-0.1390569584902704,-0.5729391936283442,,
1.2255289554595947,-2.8268668763270015,-0.15724330496857228,-0.5560238172421305,,
1.2599854469299316,-2.797863338613652,-0.17494120776931876,-0.539116797222706,,
1.2935378551483154,-2.768565636786802,-0.1921472470424593,-0.5222053068817042,,
1.3275387287139893,-2.7389803308892815,-0.208854109317692,-0.5052912253941969,,
1.3616540431976318,-2.7091176637267678,-0.2250595765293724,-0.4883802593650583,,
1.3956379890441895,-2.6789855608427096,-0.2407580192190519,-0.4714729031686958,,
1.4295415878295898,-2.6485924012291786,-0.2559443684771565,-0.4545740399526728,,
1.4637703895568848,-2.617947045166588,-0.270614567100075,-0.4376799900749258,,
1.4980528354644775,-2.5870585170511387,-0.28476491429355943,-0.42077580348497845,,
1.532198429107666,-2.5559356176490824,-0.29839153028328463,-0.4038723604785703,,
1.5663585662841797,-2.524587200219058,-0.31149047202962016,-0.38697229241782327,,
1.6005206108093262,-2.493022169090301,-0.32405783771863245,-0.3700755766009777,,
1.6349856853485107,-2.4612493494323475,-0.3360894174187722,-0.35318629508268456,,
1.668623447418213,-2.429278042067582,-0.34758215824343636,-0.3363018336622476,,
